model,ens,exp,postprocess,table,grid,varn,period,mean
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2011-2020,0.92
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2011-2020,0.99
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2011-2020,1.19
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2011-2020,1.39
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2030,1.07
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2021-2030,1.32
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2030,2.16
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2030,1.54
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2030,2.02
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2030,1.81
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2030,1.30
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2021-2030,1.24
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2030,1.47
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2030,1.85
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2030,1.10
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2030,1.28
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2030,1.51
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2030,1.77
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2031-2040,1.12
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2031-2040,1.44
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2031-2040,2.31
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2031-2040,1.66
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2031-2040,2.07
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2031-2040,1.96
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2031-2040,1.30
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2031-2040,1.31
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2031-2040,1.63
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2031-2040,2.06
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2031-2040,1.22
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2031-2040,1.44
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2031-2040,1.68
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2031-2040,2.03
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2050,1.12
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2041-2050,1.43
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2050,2.38
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2050,1.62
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2050,2.09
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2050,2.00
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2050,1.22
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2041-2050,1.25
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2050,1.69
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2050,2.10
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2050,1.24
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2050,1.42
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2050,1.68
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2050,2.19
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2051-2060,1.10
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2051-2060,1.45
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2051-2060,2.40
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2051-2060,1.52
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2051-2060,2.17
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2051-2060,2.03
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2051-2060,1.10
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2051-2060,1.19
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2051-2060,1.70
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2051-2060,2.04
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2051-2060,1.22
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2051-2060,1.35
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2051-2060,1.62
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2051-2060,2.26
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2061-2070,1.06
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2061-2070,1.55
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2061-2070,2.35
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2061-2070,1.48
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2061-2070,2.14
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2061-2070,2.12
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2061-2070,1.05
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2061-2070,1.12
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2061-2070,1.63
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2061-2070,1.94
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2061-2070,1.23
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2061-2070,1.29
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2061-2070,1.54
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2061-2070,2.24
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2071-2080,1.02
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2071-2080,1.54
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2071-2080,2.26
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2071-2080,1.50
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2071-2080,2.08
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2071-2080,2.06
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2071-2080,1.10
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2071-2080,1.05
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2071-2080,1.62
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2071-2080,1.88
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2071-2080,1.19
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2071-2080,1.24
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2071-2080,1.47
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2071-2080,2.17
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2090,0.96
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2081-2090,1.47
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2090,2.20
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2090,1.50
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2090,2.12
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2090,1.91
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2090,1.10
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2081-2090,1.00
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2090,1.61
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2090,1.76
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2090,1.08
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2090,1.23
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2090,1.37
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2090,2.17
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2091-2100,0.88
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2091-2100,1.47
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2091-2100,2.18
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2091-2100,1.48
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2091-2100,2.14
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2091-2100,1.87
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2091-2100,1.05
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2091-2100,0.99
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2091-2100,1.58
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2091-2100,1.66
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2091-2100,1.01
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2091-2100,1.24
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2091-2100,1.29
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2091-2100,2.17
ACCESS-CM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.63
ACCESS-ESM1-5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.50
AWI-CM-1-1-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.71
BCC-CSM2-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.33
CAMS-CSM1-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.06
CESM2-WACCM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.81
CESM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.68
CIESM,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,1.92
CMCC-CM2-SR5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.73
CNRM-CM6-1-HR,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2021-2040,2.01
CNRM-CM6-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2021-2040,1.59
CNRM-ESM2-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2021-2040,1.30
CanESM5-CanOE,r1i1p2f1,ssp126,global_mean,Amon,gn,tas,2021-2040,2.35
CanESM5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,2.20
EC-Earth3-Veg-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,1.52
EC-Earth3-Veg,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,2.01
EC-Earth3,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,1.72
FGOALS-f3-L,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,1.74
FGOALS-g3,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.37
FIO-ESM-2-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.90
GFDL-ESM4,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2021-2040,1.22
GISS-E2-1-G,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2021-2040,2.01
HadGEM3-GC31-LL,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,2021-2040,1.83
HadGEM3-GC31-MM,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,2021-2040,1.59
IITM-ESM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.31
INM-CM4-8,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2021-2040,1.31
INM-CM5-0,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2021-2040,1.40
IPSL-CM6A-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,1.82
KACE-1-0-G,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,2.30
KIOST-ESM,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2021-2040,1.64
MCM-UA-1-0,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2021-2040,1.68
MIROC6,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.13
MIROC-ES2L,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2021-2040,1.28
MPI-ESM1-2-HR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.39
MPI-ESM1-2-LR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.34
MRI-ESM2-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.52
NESM3,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.71
NorESM2-LM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.05
NorESM2-MM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.07
TaiESM1,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.62
UKESM1-0-LL,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2021-2040,1.81
ACCESS-CM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.23
ACCESS-ESM1-5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.77
AWI-CM-1-1-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.01
BCC-CSM2-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.64
CAMS-CSM1-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.22
CESM2-WACCM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.22
CESM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.15
CIESM,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,2.12
CMCC-CM2-SR5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.42
CNRM-CM6-1-HR,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2041-2060,2.50
CNRM-CM6-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2041-2060,1.89
CNRM-ESM2-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2041-2060,1.56
CanESM5-CanOE,r1i1p2f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.78
CanESM5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.72
EC-Earth3-Veg-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,1.83
EC-Earth3-Veg,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,2.21
EC-Earth3,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,2.04
FGOALS-f3-L,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,1.96
FGOALS-g3,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.40
FIO-ESM-2-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.23
GFDL-ESM4,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2041-2060,1.40
GISS-E2-1-G,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2041-2060,2.30
HadGEM3-GC31-LL,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,2041-2060,2.27
HadGEM3-GC31-MM,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,2041-2060,2.28
IITM-ESM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.57
INM-CM4-8,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2041-2060,1.50
INM-CM5-0,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2041-2060,1.54
IPSL-CM6A-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,2.23
KACE-1-0-G,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,2.75
KIOST-ESM,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2041-2060,1.86
MCM-UA-1-0,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2041-2060,1.94
MIROC6,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.41
MIROC-ES2L,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2041-2060,1.63
MPI-ESM1-2-HR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.58
MPI-ESM1-2-LR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.60
MRI-ESM2-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.79
NESM3,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.01
NorESM2-LM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.21
NorESM2-MM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.31
TaiESM1,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.31
UKESM1-0-LL,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2041-2060,2.38
ACCESS-CM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,2.51
ACCESS-ESM1-5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,2.02
AWI-CM-1-1-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,2.01
BCC-CSM2-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,1.55
CAMS-CSM1-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,1.33
CESM2-WACCM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,2.44
CESM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,2.23
CIESM,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2081-2100,2.19
CMCC-CM2-SR5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,2.82
CNRM-CM6-1-HR,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2081-2100,2.75
CNRM-CM6-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2081-2100,2.14
CNRM-ESM2-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2081-2100,2.00
CanESM5-CanOE,r1i1p2f1,ssp126,global_mean,Amon,gn,tas,2081-2100,2.88
CanESM5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,2.83
EC-Earth3-Veg-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2081-2100,1.97
EC-Earth3-Veg,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2081-2100,2.57
EC-Earth3,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2081-2100,2.05
FGOALS-f3-L,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2081-2100,1.97
FGOALS-g3,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,1.43
FIO-ESM-2-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,2.20
GFDL-ESM4,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2081-2100,1.41
GISS-E2-1-G,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2081-2100,2.24
HadGEM3-GC31-LL,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,2081-2100,2.74
HadGEM3-GC31-MM,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,2081-2100,2.80
IITM-ESM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,1.46
INM-CM4-8,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2081-2100,1.46
INM-CM5-0,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2081-2100,1.47
IPSL-CM6A-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2081-2100,2.35
KACE-1-0-G,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2081-2100,2.95
KIOST-ESM,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2081-2100,1.73
MCM-UA-1-0,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2081-2100,2.01
MIROC6,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,1.46
MIROC-ES2L,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2081-2100,1.58
MPI-ESM1-2-HR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,1.58
MPI-ESM1-2-LR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,1.51
MRI-ESM2-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,1.74
NESM3,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,2.01
NorESM2-LM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,1.26
NorESM2-MM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,1.34
TaiESM1,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,2.71
UKESM1-0-LL,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2081-2100,2.67
ACCESS-CM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.45
ACCESS-ESM1-5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.34
AWI-CM-1-1-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.58
BCC-CSM2-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.22
CAMS-CSM1-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,0.98
CESM2-WACCM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.65
CESM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.50
CIESM,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2016-2035,1.78
CMCC-CM2-SR5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.57
CNRM-CM6-1-HR,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2016-2035,1.82
CNRM-CM6-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2016-2035,1.46
CNRM-ESM2-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2016-2035,1.23
CanESM5-CanOE,r1i1p2f1,ssp126,global_mean,Amon,gn,tas,2016-2035,2.19
CanESM5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,2.00
EC-Earth3-Veg-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2016-2035,1.40
EC-Earth3-Veg,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2016-2035,1.89
EC-Earth3,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2016-2035,1.57
FGOALS-f3-L,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2016-2035,1.67
FGOALS-g3,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.31
FIO-ESM-2-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.79
GFDL-ESM4,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2016-2035,1.14
GISS-E2-1-G,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2016-2035,1.77
HadGEM3-GC31-LL,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,2016-2035,1.68
HadGEM3-GC31-MM,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,2016-2035,1.38
IITM-ESM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.28
INM-CM4-8,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2016-2035,1.21
INM-CM5-0,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2016-2035,1.28
IPSL-CM6A-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2016-2035,1.69
KACE-1-0-G,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2016-2035,2.07
KIOST-ESM,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2016-2035,1.57
MCM-UA-1-0,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2016-2035,1.55
MIROC6,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.01
MIROC-ES2L,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2016-2035,1.15
MPI-ESM1-2-HR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.31
MPI-ESM1-2-LR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.26
MRI-ESM2-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.40
NESM3,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.63
NorESM2-LM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,0.95
NorESM2-MM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.00
TaiESM1,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2016-2035,1.39
UKESM1-0-LL,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2016-2035,1.61
ACCESS-CM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2046-2065,2.32
ACCESS-ESM1-5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2046-2065,1.81
