model,ens,exp,postprocess,table,grid,varn,period,mean
MIROC6,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2041-2060,1.92
MIROC-ES2L,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2041-2060,2.17
MPI-ESM1-2-HR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2041-2060,2.06
MPI-ESM1-2-LR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2041-2060,2.08
MRI-ESM2-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2041-2060,2.48
NESM3,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2041-2060,2.85
NorESM2-LM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2041-2060,1.80
NorESM2-MM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2041-2060,1.87
TaiESM1,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2041-2060,2.92
UKESM1-0-LL,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2041-2060,3.28
ACCESS-CM2,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,5.47
ACCESS-ESM1-5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,4.65
AWI-CM-1-1-MR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,4.71
BCC-CSM2-MR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,3.97
CAMS-CSM1-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,3.15
CESM2-WACCM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,5.72
CESM2,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,5.61
CIESM,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2081-2100,6.32
CMCC-CM2-SR5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,5.31
CNRM-CM6-1-HR,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2081-2100,5.80
CNRM-CM6-1,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2081-2100,5.58
CNRM-ESM2-1,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2081-2100,5.01
CanESM5-CanOE,r1i1p2f1,ssp585,global_mean,Amon,gn,tas,2081-2100,7.15
CanESM5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,6.97
E3SM-1-1,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2081-2100,7.08
EC-Earth3-CC,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2081-2100,5.49
EC-Earth3-Veg-LR,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2081-2100,5.17
EC-Earth3-Veg,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2081-2100,5.69
EC-Earth3,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2081-2100,5.28
FGOALS-f3-L,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2081-2100,4.66
FGOALS-g3,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,3.65
FIO-ESM-2-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,5.51
GFDL-CM4,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2081-2100,4.72
GFDL-ESM4,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2081-2100,3.73
GISS-E2-1-G,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2081-2100,4.65
HadGEM3-GC31-LL,r1i1p1f3,ssp585,global_mean,Amon,gn,tas,2081-2100,6.21
HadGEM3-GC31-MM,r1i1p1f3,ssp585,global_mean,Amon,gn,tas,2081-2100,6.05
IITM-ESM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,3.58
INM-CM4-8,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2081-2100,3.75
INM-CM5-0,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2081-2100,3.61
IPSL-CM6A-LR,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2081-2100,6.03
KACE-1-0-G,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2081-2100,5.76
KIOST-ESM,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2081-2100,3.87
MCM-UA-1-0,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2081-2100,4.71
MIROC6,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,3.78
MIROC-ES2L,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2081-2100,3.99
MPI-ESM1-2-HR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,3.92
MPI-ESM1-2-LR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,3.95
MRI-ESM2-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,4.39
NESM3,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,5.10
NorESM2-LM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2081-2100,3.71
