model,ens,exp,postprocess,table,varn,period,mean
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,2.01
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.65
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.42
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.23
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.29
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.84
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.51
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.04
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.35
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.48
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.16
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.90
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.65
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.11
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.52
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.51
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,0.89
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.19
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.18
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.82
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.56
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.22
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.89
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.90
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.65
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.73
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.34
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.83
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.33
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.29
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.67
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.23
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.23
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.05
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.54
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.74
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.72
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.19
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.47
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.39
